"block","Treatment","Date","NEE","ER","Repro_culm"
"H1","S2",2020-07-15,1.74627225942948,2.52901573382973,1.75
"H1","S1",2020-07-15,2.29183934733301,3.13636848901992,1.5625
"H1","S3",2020-07-15,2.12813135317565,2.70569706432958,6.25925925925926
"H1","S4",2020-07-15,1.91433117900839,3.09514994433874,7.16
"H2","S2",2020-07-15,2.45235766282705,2.69588778762758,2.6
"H2","S3",2020-07-15,2.7245741427467,4.09044637897615,2
"H2","S1",2020-07-15,2.81952715435065,4.19655020125076,1.27272727272727
"H2","S4",2020-07-15,2.04974628737213,1.70660892491795,2.72727272727273
"H3","S4",2020-07-15,1.21854804830614,1.84108767700759,2.13333333333333
"H3","S2",2020-07-15,1.30687109909606,2.15035769817555,1.625
"H3","S3",2020-07-15,0.95708527325643,2.77026653777109,3.27272727272727
"H3","S1",2020-07-15,1.37115006164656,2.7385110792185,0.222222222222222
"H4","S3",2020-07-15,3.14131065623821,2.97181405761681,0.833333333333333
"H4","S1",2020-07-15,3.13598396352451,3.05256529495831,0
"H4","S4",2020-07-15,2.66367309457091,2.78196336624032,3.53066666666667
"H4","S2",2020-07-15,2.30676907530188,3.12272150132005,1.66666666666667
"H5","S3",2020-07-15,2.02537369189383,2.68434184671505,1.38709677419355
"H5","S4",2020-07-15,2.07138203389134,3.19702621046893,4.16
"H5","S2",2020-07-15,3.06706921761564,2.60395958333833,0.92
"H5","S1",2020-07-15,1.47286295669222,1.91424214677178,0.9375
"H1","S4",2020-07-22,-0.510208316943852,0.943594593206295,7.16
"H1","S2",2020-07-22,-0.626173061757278,0.98594123307413,1.75
"H1","S1",2020-07-22,0.00105409833317639,0.57696981231277,1.5625
"H1","S3",2020-07-22,-0.892395782367307,0.610145143847204,6.25925925925926
"H3","S4",2020-07-22,-0.533873732210878,0.176857341005578,2.13333333333333
"H3","S2",2020-07-22,-0.916105156484123,0.785900906233617,1.625
"H3","S3",2020-07-22,-0.826679779944801,0.345066407282325,3.27272727272727
"H3","S1",2020-07-22,-0.836294642144068,0,0.222222222222222
"H5","S3",2020-07-22,-1.09140315932636,0.862367307410685,1.38709677419355
"H5","S4",2020-07-22,-0.0836783179325005,0.386925645614688,4.16
"H5","S1",2020-07-22,-1.65814047448983,1.35380562532378,0.9375
"H5","S2",2020-07-22,-1.13145525492931,0.403479121994801,0.92
"H4","S3",2020-07-22,0.480197344220618,0.712459491918205,0.833333333333333
"H4","S2",2020-07-22,0.651249979452295,0,1.66666666666667
"H4","S1",2020-07-22,-0.768454463220053,0.433786401851973,0
"H4","S4",2020-07-22,0.480398776230591,0.529962083369865,3.26266666666667
"H2","S2",2020-07-22,0.045234600435851,1.4943418742853,2.6
"H2","S3",2020-07-22,0.530412108056695,0.886397624990964,2
"H2","S1",2020-07-22,0.537142781850035,1.55353520810881,1.27272727272727
"H2","S4",2020-07-22,0.385686038132128,1.32930362791094,2.72727272727273
"H1","S4",2020-07-29,-1.56284398893658,0.682395071607977,7.16
"H1","S2",2020-07-29,-1.55635305545385,0.779405058234756,1.75
"H1","S1",2020-07-29,-0.659547680781077,1.1619509808949,1.5625
"H1","S3",2020-07-29,-1.02992990334835,2.29814320737642,6.25925925925926
"H3","S4",2020-07-29,-0.184157994757871,0.695801781576977,2.13333333333333
"H3","S2",2020-07-29,-1.13665209589993,2.16807221773596,1.625
"H3","S3",2020-07-29,-0.126407026179879,1.71457886429592,3.27272727272727
